kata,kelas,kata_dasar,nilai
"abig","Nomina; Sd","",1
"abih","Verba; Ss","",1
"abik-abik","Verba; MBl","",1
"abikara","Nomina; Jw; kl","",1
"abil","Nomina; Bl","",1
"abila","Nomina; Gor","",1
"abilah","Nomina; Par; ark","",1
"abilawa","Nomina","",3
"abilisme","Nomina; Ing","",3
"abilitas","Nomina","",4
"abimana","","",3
"abimana","","",3
"abimanyu","Nomina; Jw","",4
"abin","Nomina; Ach","",1
"abina","Nomina; Bud","",2
"abing","Nomina","",2
"abinru","Verba; Kj","",1
"abio","Verba; Gor","",1
"abiogenesis","Nomina; Bio","",5
"abiogenetis","Adjektiva","",3
"abiogenik","Adjektiva; Bio","",4
"abiologi","Nomina","",3
"abiosen","Nomina; Bio","",2
"abioseston","Nomina; Bio","",2
"abiosfer","Nomina","",3
"abiotik","Adjektiva","",7
"abiotrofi","Nomina; Bio","",2
"abir","Nomina; Sd; Jw","",1
"abis","Nomina; Geo","",2
"abis","","",7
"abis","Verba; cak","",7
"abisal","Nomina; Adjektiva; Osn","",4
"abiseka","Nomina; Hin","",3
"abisekanama","Nomina; Hin","",2
"abisinia","Nomina","",3
"abisobentos","Nomina; Bio","",2
"abisopelagik","Nomina; Bio","",2
"abit","Nomina; Bt","",1
"abiti","Verba","",2
"abituren","","",4
"abituren","","",4
"abiturien","Nomina","",4
"abiu","Nomina","",3
"abiyasa","Nomina","",3
"abjad","Nomina","",8
"abjadiah","Adjektiva","",4
"abjat","","",4
"abjat","","",4
"abjeksi","Nomina; Bio","",3
"abkabuh","Nomina; Mar","",1
"abkhaz","Nomina","",3
"abklats","Nomina; Ark","",1
"ablasi","Nomina; Bio; Geo; Hid; Dok; Astron","",6
"ablastin","Nomina; Bio","",2
"ablatif","Adjektiva","",4
"ablaut","Nomina; Ling","",3
"ableisme","Nomina; Psi","",3
"ablepsia","Nomina; Dok","",2
"ablur","","",3
"ablur","","",3
"ablutofilia","Nomina; Psi","",2
"ablutofobia","Nomina; Psi","",2
"ablutomania","Nomina; Psi","",2
"abnon","Nomina; akr","",3
"abnormal","Adjektiva","",8
"abnormalitas","Nomina","",5
"abnus","Nomina; ark","",2
"abo","Nomina; Ptk","",1
"abo","Nomina; Sln","",1
"aboa","Adjektiva; Ni","",1
"abobo","Nomina; Gor","",1
"abogari","Nomina; Bl","",1
"aboi","Nomina","",2
"abok","Nomina; Bc","",1
"abokce","Nomina; ark","",1
"abolisi","Nomina","",6
"abolisionis","Nomina","",4
"abolisionisme","Nomina","",3
"abolisme","Nomina; Antr","",2
"abolmin","Nomina; Ngl","",1
"abomasitis","Nomina","",2
"abomasum","Nomina; Bio","",4
"abon","Nomina","",7
"abon","Nomina; Jw","",2
"abon","Nomina; Bkt","",1
"abon-abon","Nomina; Jw","",2
"abon-abon","Nomina; Jw","",2
"abon-abon","Nomina; Jw","",2
"abone","Nomina","",2
"abonemen","Nomina; Bld","",6
"abong","Nomina; Ss","",1
"abong-abong","Partikel; cak","",5
"aboospora","Nomina; Bio","",2
"abor","Adjektiva; Jw","",1
"abor","Nomina; Bt","",1
"aboral","Adjektiva; Bio","",3
"aborigin","Nomina","",5
"aborsi","Nomina","",8
"abortif","Adjektiva; Dok","",4
"abortifasien","Nomina; Dok","",2
"abortiva","Nomina; Far","",3
"abortivum","Nomina; Dok","",2
"abortus","Nomina; Dok","",5
"abot","Nomina; Ri","",1
"abotoi","Nomina","",1
"abow","Nomina; Ad","",1
"aboya","Nomina; Gor","",1
"abozo","Nomina; Sen","",1
"abpar","Nomina; Ptk","",1
"abra","Adjektiva","",3
"abrab","","",2
"abrab","","",2
"abrag","Nomina; Jw","",1
"abrag","Nomina; Jw","",1
"abrahamik","Nomina","",4
"abrahamisme","Nomina","",3
"abrak","Nomina; ark","",2
"abrakadabra","Nomina","",6
"abrap","Nomina","",2
"abrar","Adjektiva; Ar","",3
"abras","Adjektiva; Nomina","",3
"abrasi","Nomina; Geo; Dok","",6
"abrasif","Nomina; Bio; Fis; Kos","",4
"abrasivitas","Nomina","",3
"abre","Nomina; Mt","",1
"abreaksi","Nomina; Dok; Psi","",3
"abrek","","",2
"abreviasi","Nomina","",5
"abrikos","Nomina","",3
"abrin","Nomina","",2
"abrip","Nomina; akr","",3
"abripda","Nomina; akr","",3
"abriptu","Nomina; akr","",3
"abrit-abritan","Verba; Jk","",3
"abritan","Nomina; Jw","",2
"abrogasi","Nomina; Huk","",5
"abrop","","",2
"abrop","","",2
"abrosfer","Nomina","",2
"abrosia","Nomina","",2
"abrul","Verba; Sd","",1
"abrupsi","Nomina; Dok","",3
"absah","Adjektiva","",8
"absen","Verba","",9
"absensi","Nomina","",8
"absente","Nomina","",4
"absente","Nomina","",4
"absenteisme","Nomina; Huk","",3
"abses","Nomina; Dok","",6
"absin","Nomina; Pr; Tbg","",2
"absis","Nomina; Mat","",5
"absisi","Nomina; Bio","",4
"absisin","Nomina; Bot","",3
"absolusi","Nomina; Kat","",4
"absolut","Adjektiva","",8
"absolutisme","Nomina","",4
"absonan","Adjektiva","",3
"absorb","","",3
"absorban","","",3
"absorban","","",3
"absorbans","Nomina; Fis","",3
"absorbansi","Nomina; Fis; Kim","",4
"absorbat","Nomina; Kim","",4
"absorben","Nomina; Fis; Kim","",4
"absorbsi","","",6
"absorbsi","","",6
"absorpsi","Nomina; Dok; Kim; Ft","",7
"absorpsiometer","Nomina; Kim","",2
"absorpsiometri","Nomina; Kim","",2
"absorptans","Nomina; Fis","",2
"absorptif","Adjektiva","",4
"absorptivitas","Nomina; Fis","",3
"abstain","Verba; Pol; Dok","",6
"abstein","","",3
"abstein","","",3
"abstensi","Nomina","",4
"abstinen","Nomina","",3
"abstinensi","Nomina; Psi; Antr","",4
"abstrak","Adjektiva","",8
"abstrak","Nomina","",8
"abstrak","Nomina; Sen","",6
"abstrakisme","Nomina; cak","",3
"abstraksi","Nomina; Psi; Komp","",7
"abstraksionisme","Nomina; Sen","",3
"absurd","Adjektiva","",6
"absurdisme","Nomina","",4
"absurditas","Nomina","",4
"abtar","Adjektiva; Verba; Ri","",2
"abu","Nomina","",8
"abu","Nomina; Ar","",3
"abu","Verba","",3
"abu","Nomina","",8
"abu-abu","Nomina; Adjektiva; ki","",8
"abu-abu","Nomina","",8
"abu-abu","Nomina; Bt","",1
"abuakho","Nomina; Stn","",1
"abuan","Nomina","",4
"abuang","Nomina; Mk","",1
"abubu","Nomina; Mdl","",1
"abudaga","Nomina; Bt","",1
"abudo","Nomina; Stn","",1
"abugida","Nomina","",4
"abuh","Adjektiva; Jw","",2
"abuh","Adjektiva","",4
"abuh","Nomina; Dy","",1
"abui","Nomina","",2
"abuik","Adjektiva; Ri","",1
"abuja","Nomina","",3
"abuk","Nomina","",5
"abuk","Nomina","",5
"abuk","","",4
"abuk","Nomina; Bun","",1
"abuk","Adjektiva; Bl","",1
"abuk-abuk","Nomina","",3
"abukajung","Nomina; Bg","",1
"abukunu","Verba; Teng","",1
"abul","Verba","",3
"abul","Verba; Eln","",1
"abul","Verba; Jw","",1
"abul","Nomina; Bt","",1
"abulhayat","Nomina; ki","",3
"abulia","Nomina; Dok","",2
"abulus","Verba; MkD","",1
"abumi","Nomina; Stn","",1
"abun","Nomina","",2
"abun","Nomina; Bjr","",1
"abun","Nomina; Tot","",1
"abun-abun","Nomina; ark","",1
"abun-abun","Nomina; Ri","",1
"abundu","Nomina; Nbg","",1
"abung","Nomina","",2
"abung","Nomina; Kpr","",1
"abung","Nomina; Ldy","",1
"abung-abung","Ldy","",1
"abungbung","Nomina; Bl","",1
"abur","Adjektiva","",4
"abur","Verba; Sd","",1
"aburage","Nomina","",3
"aburan","Nomina; Jw","",1
"abus","Verba; Kpr; cak","",2
"abus","Nomina; Adjektiva; ki","",3
"abus","Verba; ark","",1
"abusif","Adjektiva","",4
"abut","Verba; Ss","",1
"abut","Nomina; Dy","",1
"abut","Verba","",3
"abut","Adjektiva","",3
"abut","Nomina; Ri","",1
"abutai","Nomina","",1
"abute","Nomina; Ad","",1
"abutmen","Nomina; Dok","",4
"abutmen","Nomina; Tek","",4
"abuya","Nomina","",4
"abuza","Adjektiva; Ni","",1
"abwobi","Nomina; Mar","",1
"abyad","Adjektiva; Ar","",3
"abyor","Verba; Jw","",1
"aca","Nomina","",2
"acabis","Verba; Mdr","",1
"acaca","Nomina","",2
"acah","","",2
"acah","","",2
"acai","Nomina; Bot","",3
"acak","Adjektiva; Nomina; Stat","",7
"acak","Adjektiva; cak","",7
"acak","Nomina; Ach","",1
"acakadul","Adjektiva; cak","",6
"acakadut","Adjektiva; cak","",6
"acala","Adjektiva; Ark","",1
"acalolepta","Nomina","",1
"acam","Nomina; Klm","",1
"acan","","",2
"acan","","",2
"acan-acan","Nomina; Us","",1
"acang","Nomina; Lay","",1
"acang-acang","Nomina","",3
"acang-acang","Nomina","",3
"acang-acang","Nomina; Mk","",1
"acap","Adverbia","",7
"acap","Verba; Nomina; Ri","",1
"acapkali","Adverbia","",7
"acar","Nomina","",7
"acar","Nomina; Ss","",1
"acara","Nomina; ark","",2
"acara","","",9
"acaraki","Nomina; Skt; ark","",2
"acaram","Nomina; kl","",1
"acarina","Nomina; Zool","",3
"acaru-caru","Nomina; Mks","",1
"acarya","Nomina; Hin","",3
"acat","","",2
"acau","","",2
"acawi","Nomina; kl","",1
"ace","Nomina; Cn","",2
"aceh","Nomina","",6
"aceh","Adjektiva; Jw","",1
"acek","Nomina; Jb","",2
"acekarom","Nomina; Ach","",1
"aceng","Nomina; Sd","",1
"aceng","Nomina; Sd","",1
"aceng","Adjektiva; Jw","",1
"aceng","Nomina; Bl","",1
"acengkang","Nomina; Bl","",1
"acerang","Nomina; Jk","",1
"acet","Adjektiva; Tj","",1
"aceweyawuna","Nomina","",1
"aci","Adjektiva","",4
"aci","Nomina","",6
"aci","Nomina","",6
"aci","","",4
"aci","Nomina","",6
"aci","Nomina; Bt","",1
"aci","Nomina; Bl","",1
"aci-aci","Nomina","",3
"aci-aci","Nomina; Lay","",1
"aci-aci","Nomina","",3
"acidemia","Nomina; Dok","",2
"acik","Nomina; ark; Ri","",2
"acik","Nomina; Jw","",1
"acik","Nomina; Klm","",1
"acing","Adjektiva; Lmt","",1
"acingara","Adjektiva","",2
"acintia","Adjektiva; Hin","",2
"aciote","Nomina","",2
"acir","Nomina","",2
"aco","","",2
"aco","Nomina; Ri; Verba","",2
"acok","Nomina","",2
"acoli","Nomina","",2
"acop","Nomina; Dy","",1
"acu","","",5
"acu","","",5
"acu","Nomina; MBa","",1
"acuci","Verba","",2
"acuh","Verba","",8
"acuk","Verba; Ach","",1
"acuk","Verba; Gy","",1
"acum","","",3
"acung","","",6
"acung","","",6
"acung","Nomina; Bot","",2
"acung","Nomina","",6
"acung","Verba; Ri","",1
"ad-duha","Nomina; Isl","",5
"ad-dukhan","Nomina; Isl","",5
"ada","Nomina; Komp","",4
"ada","Verba","",10
"ada","Nomina; Ng","",1
"ada","Nomina; Jw","",1
"ada","Nomina; Sb","",1
"ada","Nomina; Sb","",1
"ada-ada","Nomina; Jw","",3
"ada-ada","Nomina; Jw","",3
"ada-ada","Nomina; Jw","",3
"adaan","Adjektiva; Jw","",2
"adab","Nomina","",8
"adabiah","Adjektiva; Ar","",4
"adaci","Nomina; Cl","",1
"adad","Nomina; Ar","",3
"adagio","Nomina; Mus","",4
"adagium","Nomina","",5
"adah","Verba; Als","",1
"adah","Verba; Ss","",1
"adai","Nomina; Kpr","",1
"adai","Nomina; Ri","",1
"adaini","Nomina; Jw","",1
"adak","Nomina; Klm","",1
"adak","","",2
"adak","Nomina; Mp","",1
"adak","Nomina; Mg","",1
"adakala","Adverbia","",6
"adakan","Partikel","",3
"adakan","Adjektiva; Jw","",1
"adaks","Nomina","",2
"adaksial","Adjektiva; Bio","",3
"adaktil","Adjektiva","",2
"adal","Nomina; Beng","",1
"adalabang","Nomina; Mdr","",1
"adalah","Verba","",10
"adalapur","Nomina","",1
"adalat","Nomina; Ar","",3
"adam","Nomina; Isl","",5
"adam","Nomina; kl","",1
"adamantana","Nomina; Kim","",2
"adamantin","Nomina","",2
"adamat","Nomina; akr","",2
"adamu","Nomina; Mu","",1
"adan","","",3
"adan","","",3
"adan","Nomina; Ke","",1
"adan","Nomina; Kei","",1
"adan","Nomina; Maa","",1
"adan","Nomina; Ri","",1
"adang","Nomina","",2
"adang","Verba","",6
"adang","Verba; Jw","",2
"adang","Nomina","",6
"adang","Nomina; Ach","",1
"adangang","Adjektiva","",2
"adangiyah","Nomina; Jw","",1
"adangiyah","Nomina; Mus","",1
"adap-adapan","Nomina","",3
"adaptabel","Adjektiva","",4
"adaptabilitas","Nomina","",4
"adaptasi","Nomina; Bio","",8
"adapter","Nomina","",5
"adaptif","Adjektiva","",6
"adaptogen","Nomina","",3
"adaptometer","Nomina","",2
"adaptor","Nomina; Fis","",6
"adapun","Partikel","",7
"adapus","Nomina","",2
"adar","Nomina","",2
"adar","","",2
"adar","Adjektiva","",2
"adar","Nomina","",2
"adaran","Nomina; Bt","",1
"adargom","Nomina; Ky","",1
"adarma","Adjektiva; Hin","",2
"adarusa","Nomina; Mu","",1
"adas","Nomina","",5
"adas","Nomina; Lmt","",1
"adas","Verba; Klm","",1
"adat","Nomina; kl","",8
"adat","","",4
"adat","Verba; Kur","",1
"adati","Adjektiva","",5
"adatuang","Nomina; Bg","",1
"adau","Nomina; Dy","",1
"adbukin","Nomina; Kur","",1
"addui","Verba; Mt","",1
"ade","Nomina; Dn","",1
"ade","Nomina; Bg","",1
"ade","Nomina; cak","",5
"ade-ade","Nomina; Gy; Sen","",1
"adeabiasang","Nomina; Bg","",1
"adeasamaturuseng","Nomina; Bg","",1
"adefovir","Nomina; Far","",2
"adeg","Verba; Jw","",2
"adeg-adeg","Nomina; Jw","",2
"adeg-adeg","Nomina; Jw","",2
"adeg-adeg","Nomina; Us","",1
"adegan","Nomina","",8
"adegan","Nomina; Bl","",1
"adeh","","",2
"adei","Partikel; Ri","",1
"adek","","",6
"adek","","",6
"adekuasi","Nomina","",4
"adekuat","Adjektiva","",5
"adelfogami","Nomina; Bio","",2
"adelfoparasit","Nomina; Bio","",2
"adelo","Nomina; Gor","",1
"adem","Adjektiva; Jw; cak","",7
"adem","Nomina; Bl","",1
"ademaraja","Nomina; Bg","",1
"adempauze","Nomina; Bld","",3
"ademsi","Nomina; Huk","",2
"adena","Nomina; Kal","",1
"adenda","","",5
"adenda","","",5
"adendum","Nomina","",6
"adeneng","Nomina; Bg","",1
"adenilat","Nomina; Bio","",3
"adenin","","",5
"adenin","","",5
"adenina","Nomina; Kim","",5
"adenitis","Nomina; Dok","",4
"adenium","Nomina","",4
"adenoblas","Nomina; Bio","",2
"adenohipofisis","Nomina; Dok","",4
"adenoid","Nomina; Dok","",5
"adenoidektomi","Nomina","",3
"adenoiditis","Nomina; Dok","",3
"adenokarsinoma","Nomina; Dok","",4
"adenolimfoma","Nomina; Dok","",3
"adenolimfosele","Nomina; Dok","",3
"adenoma","Nomina; Dok","",4
"adenomiosis","Nomina","",3
"adenopati","Nomina","",3
"adenosilmetionin","Nomina; Bio","",3
"adenosin","","",5
"adenosin","","",5
"adenosina","Nomina; Kim; Dok","",5
"adenosis","Nomina; Dok","",3
"adenosit","Nomina; Bio","",2
"adenovirus","Nomina; Bio","",5
"adep","Nomina; Mn","",1
"adep-adep","Nomina","",1
"aderang","Nomina; Ach","",1
"adermatoglifia","Nomina; Dok","",2
"adesi","","",5
"adesi","","",5
"adet","Verba; Mn","",1
"adeta","Verba; Eln","",1
"adfluvial","Adjektiva","",2
"adha","Nomina","",3
"adhan","","",7
"adhan","","",7
"adhesi","Nomina; Fis; Bot; Dok","",6
"adhesif","Adjektiva","",5
"adi","Nomina","",3
"adi","Verba; Klm","",1
"adi-","bentuk terikat","",5
"adi-adi","Nomina; Ko","",1
"adi-adi","Nomina; Mr","",1
"adi-buddha","Nomina; Bud","",3
"adiabat","Nomina; Fis","",4
"adiabatik","Adjektiva; Fis","",4
"adiafanus","Adjektiva; Bio","",2
"adiafora","Nomina; Fil","",2
"adiaksa","Nomina; Skt","",2
"adiaktinik","Adjektiva; Fis","",2
"adian","Nomina; Bt","",1
"adiarus","Nomina; Fis","",2
"adib","Verba; Nomina","",3
"adibahasa","Nomina","",4
"adibangkit","Nomina","",3
"adibasa","Nomina; Jw","",2
"adibibit","Nomina","",3
"adibintang","Nomina","",4
"adiboga","Nomina","",5
"adibuddha","Nomina; Hin","",2
"adibusana","Nomina","",6
"adicita","Nomina; ark","",2
"adidaya","Adjektiva","",7
"adidi","Nomina; Gor","",1
"adidingin","Nomina","",3
"adiduniawi","Adjektiva","",4
"adigang","Adjektiva","",3
"adiguna","Adjektiva","",3
"adigung","Adjektiva","",3
"adihablur","Nomina; Fis","",2
"adihantar","Nomina","",4
"adiinsani","Adjektiva","",4
"adijana","Nomina","",3
"adijenuh","Adjektiva; Hidm","",3
"adik","Nomina; Prm","",9
"adik","Nomina; Ab","",1
"adika","Adjektiva; Nomina","",4
"adikan","Nomina; Bsm","",1
"adikanda","","",5
"adikanda","","",5
"adikara","Adjektiva; kl; Nomina","",4
"adikarya","Nomina","",7
"adikekisi","Nomina; Fis","",2
"adikia","Nomina","",2
"adikodrati","Adjektiva","",6
"adikong","Nomina","",2
"adikristal","Nomina; Geo","",3
"adiksi","Nomina; Dok; Psi","",6
"adiksimba","Pronomina; akr","",5
"adiktif","Adjektiva","",7
"adikuasa","Adjektiva","",7
"adil","Adjektiva","",9
"adilaga","Nomina; Jw","",2
"adiluhung","Adjektiva","",7
"adimanusia","Nomina","",5
"adimanusiawi","Adjektiva","",4
"adimarga","Nomina","",4
"adimas","Nomina; Jw; hor","",5
"adimisme","Nomina","",2
"adimuda","Nomina; Ri","",2
"adimuka","Nomina; Jw","",2
"adimukti","Adjektiva; Sd","",1
"adinamia","Adjektiva; Dok","",2
"adinaton","Nomina; Sas","",2
"adinda","Nomina; hor","",6
"ading","Nomina; cak","",5
"adion","Nomina; Fis","",2
"adiparwa","Nomina","",3
"adipasar","Nomina","",3
"adipati","Nomina","",6
"adipatni","Nomina","",3
"adipektomi","Nomina; Dok","",3
"adipenghantar","Nomina; Fis","",3
"adipenjahat","Nomina","",3
"adiperagawan","Nomina","",4
"adiperagawati","Nomina","",5
"adipokin","Nomina","",3
"adiponektin","Nomina","",3
"adiposa","Adjektiva; Dok","",4
"adipose","Nomina; Ing; Bio","",4
"adiposera","Nomina; Dok","",2
"adiposero","Nomina; Bio","",2
"adiposit","Nomina; Bio","",3
"adipositas","Nomina; Dok","",4
"adipsia","Nomina; Dok","",2
"adipuisi","Nomina","",3
"adipura","Nomina","",7
"adipurna","Nomina","",5
"adipurusa","Nomina; Sd; kl","",1
"adiraja","Nomina; ark","",3
"adirata","Nomina","",2
"adiratna","Nomina; ki","",3
"adis","Nomina; Ri","",1
"adisatria","Nomina","",4
"adiseni","Nomina","",3
"adisi","Nomina; Kim; Filol","",6
"adisional","Adjektiva","",5
"adisiswa","Nomina","",4
"adit","Nomina","",3
"aditama","Adjektiva","",5
"aditi","Nomina; Hin","",2
"aditia","Nomina; Bt","",1
"aditif","Adjektiva; Nomina","",6
"aditokoh","Nomina","",4
"aditorium","","",7
"aditorium","","",7
"aditus","Nomina; Dok","",3
"aditya","Nomina; Hin","",3
"adityawarman","Nomina","",4
"adiwacana","Nomina","",4
"adiwangsa","Nomina; kl","",2
"adiwarna","Adjektiva","",6
"adiwastra","Nomina","",5
"adiwicara","Nomina","",3
"adiwidia","Nomina","",3
"adiwira","Nomina; Skt; kl","",5
"adiwirawati","Nomina","",3
"adiwisma","Nomina","",3
"adiwiyata","Nomina","",6
"adiyuga","Nomina; Hin","",2
"adiyuswa","Adjektiva; Jw","",3
"adjektif","","",7
"adjektif","","",7
"adjektiva","Nomina; Ling","",7
"adjektival","Adjektiva; Ling; Nomina","",5
"adjektivisasi","Nomina; Ling","",4
"adjudikasi","Nomina; Huk","",5
"adjudikatif","Adjektiva","",4
"adjuster","Nomina","",4
"adjuster","","",4
"adjuvan","Nomina; Far","",4
"adlati","Nomina; Ca","",1
"adlib","Nomina; Lt; sing; Adjektiva; Ikn","",4
"adm","Nomina; sing","",7
"admin","Nomina; sing","",8
"adminduk","Nomina; akr","",5
"administrasi","Nomina","",9
"administratif","Adjektiva","",8
"administrator","Nomina; Pol; Man; If","",8
"administratur","","",6
"administratur","","",6
"admiral","Nomina; Mil","",5
"admisi","Nomina","",6
"admisibilitas","Nomina; Huk","",4
"admitans","Nomina; Fis","",3
"adnan","Nomina; Ar; Isl","",4
"adnasal","Nomina; Bio","",2
"adneksa","Nomina; Anat","",4
"adneksitis","Nomina","",3
"adnominal","Nomina; Ling","",4
"adobe","Nomina","",5
"adobo","Nomina; Tag","",4
"adodui","Nomina; Dy","",1
"adoh","Nomina; Bkt","",1
"adok","Nomina; Mk","",1
"adok","Nomina; Trj","",1
"adok","Nomina; Mk","",1
"adolesens","Nomina","",4
"adolu","Nomina; Ni","",1
"adolu","Nomina; Ni","",1
"adom","Nomina; Kpr","",1
"adon","Verba","",5
"adon-adon","Nomina; Jw","",2
"adonara","Nomina","",4
"adondoak","Adjektiva; Mg","",1
"adong","Nomina; Tan","",1
"adong","Nomina; MBa","",1
"adopsi","Nomina; Huk","",8
"adoptif","Adjektiva; Adm","",6
"adora","Nomina","",2
"adoral","Adjektiva; Bio","",2
"adorasi","Nomina; Kat","",4
"adot","Nomina; Bkt","",1
"adpel","Nomina; akr","",4
"adpertensi","","",5
"adpertensi","","",5
"adpis","","",4
"adpis","","",4
"adpokat","","",6
"adpokat","","",6
"adposisi","Nomina; Ling","",4
"adrahi","Nomina; Sd","",1
"adrem","Nomina; Jw","",2
"adrenal","Nomina; Dok","",5
"adrenalektomi","Nomina; Kim","",3
"adrenalin","Nomina; Bio","",6
"adrenalina","Nomina; Dok","",5
"adrenergik","Adjektiva; Dok","",4
"adreng","Adverbia; Jw","",2
"adrenokortikal","Adjektiva; Dok","",3
"adrenokrom","Nomina; Kim","",3
"adrenoreseptor","Nomina; Bio","",3
"adres","Nomina; cak","",5
"adret","Nomina","",3
"adriatik","Nomina","",5
"adrif","Adjektiva; Lay","",1
"adronitis","Nomina","",2
"adrostral","Adjektiva; Zool","",2
"adsorbat","Nomina; Kim","",4
"adsorben","Nomina; Kim","",4
"adsorpsi","Nomina; Kim","",5
"adsorptif","Adjektiva","",3
"adstratum","Nomina; Ling","",3
"adstringen","","",4
"adstringen","","",4
"adu","Verba; Nomina","",8
"adu","","",2
"adu","Nomina; Ni","",1
"adu-adu","Nomina; Bt","",1
"aduh","Partikel","",8
"aduhai","Partikel; Adjektiva","",7
"adui","Adjektiva; Sd","",1
"aduk","Verba","",8
"aduk","Nomina; Ldy","",1
"aduk-aduk","Nomina; Jw","",2
"aduk-aduk","Verba; Us","",2
"adukit","Nomina; Eln","",1
"aduksi","Nomina; Bio","",4
"aduktor","Nomina; Bio","",4
"adularia","Nomina","",3
"adularisasi","Nomina","",2
"adulterasi","Nomina","",3
"adum","Nomina; akr","",2
"adumla","Nomina; akr","",2
"adun","Adjektiva; kl","",3
"adun","Nomina; Mdr","",1
